ABC-book	букварь
ABC	алфавит
ACE	Allied Command
ADC	analog-to-digital converter аналогово-цифровой преобразователь aide-de-camp адъютант
AC	aircraft carrier авианосец тж. ac
AF	Air Force военно-воздушные силы Audio Frequency звуковая частота
AFC	Automatic Flight Control автоматическое управление полетом Automatic Frequency Control автоматическая регулировка частоты
ADP	Administrative Data Processing административная обработка данных Advanced Data Processing усовершенствованная обработка данных
AM	air mail воздушная почта amplitude modulation амплитудная модуляция
AP	"airplane самолет American Patent американский патент Associated Press информационное агентство "Ассошиэйтед Пресс"
AL	American Legion Американский легион Alabama Алабама (штат США) American League американская лига (в бейсболе)
APA	American Philological Association Американская филологическая ассоциация All Points Addressable адресуемый всем постам
AG	Adjutant General генеральный адъютант генеральный атторней
AV	ad valorem по стоимости audiovisual звукозрительный av
Aberdeen	Абердин (графство и город)
Abaddon	Авад(д)он (ангел бездны)
Abel	Авель
Agatha	Агата
Agnes	Агнесса
Ada	Ада
Adalbert	Адальберт
Adam	Адам
Adonis	Адонис
Adrian	Адриан
Afghanistan	Афганистан
Afghan	афганский
Africa	Африка
Afrikaans	африкаанс
African	африканский
Afro	'афро'
Achilles	Ахиллес
Abidjan	г. Абиджан
Abudja	г. Абуджа
Adelaide	г. Аделаида
Aden	г. Аден
Accra	г. Аккра
Aesop	Эзоп
Abraham	Эйбрахам
Aeneas	Эней
Aeolian	эолийский
AR	acknowledgment receipt расписка в получении annual return годовой отчет Arkansas Арканзас (штат США) army regulation устав воинской службы Address Register адресный регистр
Arthurian	Arthurian romances
Anglistics	as англистика
Baal	Baalim Ваал
BCS	Bachelor of Commercial Science бакалавр коммерции British Computer Society британское компьютерное общество
BS	Bachelor of Science бакалавр (естественных) наук (США) balance sheet баланс
BCD	Bad Conduct Discharge увольнение с военной службы по дисциплинарным мотивам Binary Coded Decimal двоично-десятичное число
B	bar бар (единица давления) b
BP	"barometic pressure барометрическое давление bills payable векселя к платежу British Patent британский патент British Petroleum компания "Бритиш Петролеум bp"
BD	barrels per day (столько-то) баррелей в день bills discounted дисконтированные или учтенные векселя bd
BM	basal metabolism основной обмен bowel movement стул British Museum Британский музей
B.C.	before Christ до нашей эры bulk cargo насыпной
Benny	Benjamin Бенни
Bessemer	Bessemer process
BR	bills receivable векселя к получению bedroom спальня
BC	birth certificate свидетельство о рождении British Columbia Британская Колумбия (провинция Канады) British Council Британский Совет
B.P.	blood pressure артериальное давление British Pharmacopoeia Британская фармакопея b.p.
Borstal	Borstal system
BMA	British Medical Association Британская медицинская ассоциация Bank Marketing Association ассоциация по банковскому маркетингу
B.O.A.	British Olympic Association Британская олимпийская ассоциация British Overseas Airways Corporation Британская компания трансокеанских воздушных сообщений
Bert	of Albert
Bertie	of Albert
Andy	of Andrew Энди
Annie	of Ann
Archie	of Archibald Арчи
Bab	of Barbara Бэб
Bart	of Bartholomew Барт
Ben	of Benjamin Бен
Biddy	of Bridget Бидди
Bess	of Elisabeth Бесс
Bessie	of Elisabeth Бесси
Bessy	of Elisabeth Бесси
Betsey	of Elisabeth Бетси
Betsy	of Elisabeth Бетси
Betty	of Elisabeth Бетти
Bel	of Isabel
Bella	of Isabel
Beck	of Rebecca Бек
Becky	of Rebecca Бекки
Bex	of Rebecca Бекс
Bob	of Robert Боб
Bobbie	of Robert Бобби
Bobby	of Robert Бобби
Bill	of William Билл
Billy	of William Билли
Augean	авгиев
August	Август
Aurora	Аврора
Australian	австралийский
Australia	Австралия
Austrian	австриец
Austria	Австрия
Azerbaijan	Азербайджан
Azerbaijani	азербайджанец
Asia	Азия
Azores	Азорские острова
Alabama	Алабама
Alan	Алан
Albania	Албания
Albanian	албанский
Alexander	Александр
Alexandrine	александрийский стих
Algeria	Алжир
Algerian	алжирский
Allan	Аллан
Allah	аллах
Aloys	Алоиз
Altai	Алтай
Albert	Альберт
Albion	Альбион
Alpine	альпиец
Alps	Альпы
Alfred	Альфред
Alaska	Аляска
Amabel	Амабель
Amazon	амазонка
Amelia	Амелия
America	Америка
Americanization	американизация
Americanize	американизировать
Americanism	американизм
American	американский
Amerind	америнд
Amphibia	амфибии
Anglicize	англизировать
Anglican	англиканский
Anglicanism	англиканское вероисповедание
Anglicist	англист
Anglicism	англицизм
Briticism	англицизм
Blighty	Англия
Anglo-	англо-
Anglo	англо-американец
Anglo-American	англо-американец
Anglo-Indian	англо-индиец
Anglo-Canadian	англо-канадец
Anglo-Catholic	англокатолический
Anglomania	англомания
Anglo-Saxon	англосаксонский
Anglophobia	англофобия
Anglophone	англофон
Anglesey	Англси
Angola	Ангола
Angolan	анголец
Angus	Ангус
Angelina	Анджелина
Andorra	Андорра
Andromache	Андромаха
Andes	Анды
Angelica	Анжелика
Angevin	анжуйский
Anna	Анна
Antaeus	Антей
Antilles	Антильские острова
Antrim	Антрим
Antoinette	Антуанетта
Apennines	Апеннины
Apollo	Аполлон
Appalachians	Аппалачские горы
April	апрель
Arab	араб
Arabella	Арабелла
Arabian	арабский
Arabic	арабский
Aramaic	арамейский язык
Ararat	Арарат (гора)
Argentina	Аргентина
Argentinean	аргентинец
Argonaut	аргонавт
Argus	Аргус
Areopagus	ареопаг
Arizona	Аризона
Aryan	арийский
Aristotelian	аристотелевский
Arkansas	Арканзас (река и штат)
Armagh	Арма
Armageddon	армагеддон
Armenia	Армения
Armenian	армянский
Arnold	Арнольд
Artemis	Артемида
Arthur	Артур
Archaean	архейский
Archeozoic	археозойский
Archimedean	архимедов	
Archibald	Арчибальд
Assam	Ассам
Assyrian	ассирийский
Assyria	Ассирия
Atlantic	атлантический
Bikini	атолл Бикини
Athena	Афина
Athenian	афинский
Aphrodite	Афродита
Bahamas	Багамские острова
